datetime,CFFEX.IF1904.open,CFFEX.IF1904.high,CFFEX.IF1904.low,CFFEX.IF1904.close,CFFEX.IF1904.volume,CFFEX.IF1904.open_oi,CFFEX.IF1904.close_oi
2019-03-18 09:38:00.000000000,3752.8,3756.8,3751.2,3754.2,375,62460,62278
2019-03-18 09:39:00.000000000,3754.2,3754.6,3747.6,3750.6,461,62278,62102
2019-03-18 09:40:00.000000000,3750.6,3750.6,3745.2,3746.2,578,62102,61893
2019-03-18 09:41:00.000000000,3746.2,3749.8,3745.8,3746.4,346,61893,61796
2019-03-18 09:42:00.000000000,3746.4,3747.4,3743.0,3743.0,571,61796,61596
2019-03-18 09:43:00.000000000,3743.0,3749.4,3741.6,3748.4,511,61596,61383
2019-03-18 09:44:00.000000000,3748.4,3750.8,3747.8,3750.2,305,61383,61312
2019-03-18 09:45:00.000000000,3750.2,3753.6,3749.2,3753.6,481,61312,61093
2019-03-18 09:46:00.000000000,3753.6,3755.2,3750.6,3755.0,468,61093,60953
2019-03-18 09:47:00.000000000,3755.0,3759.0,3753.6,3759.0,446,60953,60782
2019-03-18 09:48:00.000000000,3759.0,3762.0,3757.8,3761.4,604,60782,60648
2019-03-18 09:49:00.000000000,3761.4,3761.6,3757.4,3760.0,444,60648,60515
2019-03-18 09:50:00.000000000,3760.0,3763.2,3759.0,3761.0,431,60515,60392
2019-03-18 09:51:00.000000000,3761.0,3761.8,3756.6,3757.2,459,60392,60242
2019-03-18 09:52:00.000000000,3757.2,3771.8,3757.2,3771.6,834,60242,59912
2019-03-18 09:53:00.000000000,3771.6,3776.6,3769.0,3773.8,881,59912,59564
2019-03-18 09:54:00.000000000,3773.8,3777.8,3773.4,3776.8,576,59564,59385
2019-03-18 09:55:00.000000000,3776.8,3776.8,3771.0,3772.8,627,59385,59247
2019-03-18 09:56:00.000000000,3772.8,3775.6,3771.8,3774.0,369,59247,59168
2019-03-18 09:57:00.000000000,3774.0,3774.8,3770.2,3771.6,296,59168,59106
2019-03-18 09:58:00.000000000,3771.6,3773.4,3769.8,3772.2,293,59106,59062
2019-03-18 09:59:00.000000000,3772.2,3775.0,3770.0,3771.0,278,59062,58996
2019-03-18 10:00:00.000000000,3771.0,3775.0,3771.0,3773.0,295,58996,58884
2019-03-18 10:01:00.000000000,3773.0,3773.8,3764.2,3765.4,659,58884,58691
2019-03-18 10:02:00.000000000,3765.4,3766.2,3761.0,3763.6,545,58691,58515
2019-03-18 10:03:00.000000000,3763.6,3767.0,3762.6,3766.4,322,58515,58430
2019-03-18 10:04:00.000000000,3766.4,3768.4,3765.6,3766.6,210,58430,58375
2019-03-18 10:05:00.000000000,3766.6,3768.0,3763.4,3765.4,302,58375,58267
2019-03-18 10:06:00.000000000,3765.4,3774.6,3765.4,3774.4,324,58267,58213
2019-03-18 10:07:00.000000000,3774.4,3780.6,3772.8,3779.4,650,58213,58062
2019-03-18 10:08:00.000000000,3779.4,3780.8,3776.2,3778.8,406,58062,58072
2019-03-18 10:09:00.000000000,3778.8,3779.8,3776.0,3776.0,308,58072,58039
2019-03-18 10:10:00.000000000,3776.0,3778.4,3776.0,3776.0,226,58039,58017
2019-03-18 10:11:00.000000000,3776.0,3780.2,3775.2,3779.4,382,58017,57989
2019-03-18 10:12:00.000000000,3779.4,3779.4,3773.0,3773.4,417,57989,57917
2019-03-18 10:13:00.000000000,3773.4,3780.0,3773.4,3778.6,264,57917,57865
2019-03-18 10:14:00.000000000,3778.6,3783.0,3770.8,3772.2,639,57865,57683
2019-03-18 10:15:00.000000000,3772.2,3772.8,3766.6,3770.4,621,57683,57547
2019-03-18 10:16:00.000000000,3770.4,3774.8,3770.0,3770.4,353,57547,57431
2019-03-18 10:17:00.000000000,3770.4,3774.0,3769.6,3771.6,252,57431,57348
2019-03-18 10:18:00.000000000,3771.6,3775.0,3771.0,3774.6,207,57348,57324
2019-03-18 10:19:00.000000000,3774.6,3775.8,3772.6,3775.8,180,57324,57308
2019-03-18 10:20:00.000000000,3775.8,3776.0,3772.2,3772.6,204,57308,57305
2019-03-18 10:21:00.000000000,3772.6,3773.2,3767.8,3771.0,378,57305,57279
2019-03-18 10:22:00.000000000,3771.0,3779.2,3771.0,3778.2,375,57279,57266
2019-03-18 10:23:00.000000000,3778.2,3778.2,3775.0,3776.6,161,57266,57243
2019-03-18 10:24:00.000000000,3776.6,3779.0,3775.8,3777.8,186,57243,57226
2019-03-18 10:25:00.000000000,3777.8,3781.4,3777.8,3779.8,351,57226,57180
2019-03-18 10:26:00.000000000,3779.8,3783.6,3779.6,3782.8,409,57180,57136
2019-03-18 10:27:00.000000000,3782.8,3785.8,3782.4,3784.4,463,57136,57075
2019-03-18 10:28:00.000000000,3784.4,3784.6,3779.6,3780.4,401,57075,57019
2019-03-18 10:29:00.000000000,3780.4,3783.6,3780.4,3782.6,164,57019,56995
2019-03-18 10:30:00.000000000,3782.6,3783.8,3779.2,3781.2,303,56995,56950
2019-03-18 10:31:00.000000000,3781.2,3785.2,3781.2,3784.8,275,56950,56922
2019-03-18 10:32:00.000000000,3784.8,3789.6,3784.4,3789.6,521,56922,56891
2019-03-18 10:33:00.000000000,3789.6,3792.0,3787.8,3789.2,555,56891,56836
2019-03-18 10:34:00.000000000,3789.2,3793.6,3788.6,3792.0,478,56836,56774
2019-03-18 10:35:00.000000000,3792.0,3793.6,3788.2,3790.0,460,56774,56695
2019-03-18 10:36:00.000000000,3790.0,3792.0,3790.0,3790.2,170,56695,56662
2019-03-18 10:37:00.000000000,3790.2,3790.8,3787.0,3787.4,263,56662,56615
2019-03-18 10:38:00.000000000,3787.4,3791.0,3787.4,3789.4,179,56615,56568
2019-03-18 10:39:00.000000000,3789.4,3790.0,3785.0,3786.6,245,56568,56502
2019-03-18 10:40:00.000000000,3786.6,3789.6,3786.4,3789.6,156,56502,56491
2019-03-18 10:41:00.000000000,3789.6,3789.6,3783.0,3785.4,277,56491,56468
2019-03-18 10:42:00.000000000,3785.4,3791.6,3785.0,3790.4,271,56468,56472
2019-03-18 10:43:00.000000000,3790.4,3794.8,3786.8,3794.8,413,56472,56434
2019-03-18 10:44:00.000000000,3794.8,3795.0,3791.4,3793.4,368,56434,56407
2019-03-18 10:45:00.000000000,3793.4,3797.2,3793.0,3796.6,527,56407,56332
2019-03-18 10:46:00.000000000,3796.6,3798.4,3794.4,3796.2,432,56332,56353
2019-03-18 10:47:00.000000000,3796.2,3799.0,3795.2,3798.6,417,56353,56316
2019-03-18 10:48:00.000000000,3798.6,3798.8,3795.4,3795.8,348,56316,56313
2019-03-18 10:49:00.000000000,3795.8,3802.4,3795.6,3800.4,627,56313,56245
2019-03-18 10:50:00.000000000,3800.4,3806.0,3800.4,3804.2,641,56245,56202
2019-03-18 10:51:00.000000000,3804.2,3808.8,3804.0,3807.2,683,56202,56201
2019-03-18 10:52:00.000000000,3807.2,3807.6,3800.0,3800.0,723,56201,56312
2019-03-18 10:53:00.000000000,3800.0,3802.2,3799.6,3801.2,329,56312,56385
2019-03-18 10:54:00.000000000,3801.2,3804.6,3800.6,3804.0,223,56385,56382
2019-03-18 10:55:00.000000000,3804.0,3808.2,3800.8,3808.2,421,56382,56389
2019-03-18 10:56:00.000000000,3808.2,3813.2,3804.4,3812.2,488,56389,56342
2019-03-18 10:57:00.000000000,3812.2,3812.4,3809.0,3810.0,323,56342,56307
2019-03-18 10:58:00.000000000,3810.0,3811.2,3800.8,3802.2,465,56307,56339
2019-03-18 10:59:00.000000000,3802.2,3803.2,3799.2,3802.2,377,56339,56323
2019-03-18 11:00:00.000000000,3802.2,3805.8,3800.6,3801.4,288,56323,56328
2019-03-18 11:01:00.000000000,3801.4,3802.0,3797.6,3802.0,428,56328,56280
2019-03-18 11:02:00.000000000,3802.0,3804.0,3797.8,3799.0,313,56280,56256
2019-03-18 11:03:00.000000000,3799.0,3802.0,3795.8,3797.4,426,56256,56309
